date,category,amount_usd,currency,description,month_label
2024-10-01,Healthcare,70.3,GBP,Healthcare expense,October 2024
2024-10-04,Dining Out,63.94,USD,Dining Out expense,October 2024
2024-10-04,Entertainment,72.2,INR,Entertainment expense,October 2024
2024-10-05,Healthcare,28.33,USD,Healthcare expense,October 2024
2024-10-05,Savings,100.71,USD,Savings expense,October 2024
2024-10-07,Dining Out,71.55,INR,Dining Out expense,October 2024
2024-10-10,Remittance,246.79,USD,Remittance expense,October 2024
2024-10-14,Rent,846.09,USD,Rent expense,October 2024
2024-10-15,Subscriptions,36.21,USD,Subscriptions expense,October 2024
2024-10-15,Dining Out,67.02,USD,Dining Out expense,October 2024
2024-10-17,Rent,891.92,CNY,Rent expense,October 2024
2024-10-17,Savings,115.3,USD,Savings expense,October 2024
2024-10-18,Clothing,38.58,GBP,Clothing expense,October 2024
2024-10-18,Transport,67.86,GBP,Transport expense,October 2024
2024-10-20,Groceries,117.62,INR,Groceries expense,October 2024
2024-10-24,Savings,99.14,USD,Savings expense,October 2024
2024-10-25,Rent,917.92,USD,Rent expense,October 2024
2024-10-25,Rent,947.35,USD,Rent expense,October 2024
2024-10-26,Remittance,225.12,INR,Remittance expense,October 2024
2024-10-26,Clothing,69.42,GBP,Clothing expense,October 2024
2024-11-02,Remittance,184.09,CNY,Remittance expense,November 2024
2024-11-02,Rent,903.91,GBP,Rent expense,November 2024
2024-11-04,Remittance,205.59,CNY,Remittance expense,November 2024
2024-11-05,Dining Out,52.3,CNY,Dining Out expense,November 2024
2024-11-10,Clothing,114.62,USD,Clothing expense,November 2024
2024-11-10,Savings,113.83,CNY,Savings expense,November 2024
2024-11-10,Groceries,53.01,USD,Groceries expense,November 2024
2024-11-13,Remittance,226.91,GBP,Remittance expense,November 2024
2024-11-14,Healthcare,18.91,USD,Healthcare expense,November 2024
2024-11-16,Rent,834.49,USD,Rent expense,November 2024
2024-11-17,Groceries,103.11,USD,Groceries expense,November 2024
2024-11-17,Remittance,213.5,USD,Remittance expense,November 2024
2024-11-18,Rent,874.55,USD,Rent expense,November 2024
2024-11-18,Groceries,106.61,GBP,Groceries expense,November 2024
2024-11-19,Rent,878.64,USD,Rent expense,November 2024
2024-11-19,Subscriptions,30.61,CNY,Subscriptions expense,November 2024
2024-11-19,Dining Out,60.93,USD,Dining Out expense,November 2024
2024-11-20,Rent,944.1,USD,Rent expense,November 2024
2024-11-23,Clothing,30.25,USD,Clothing expense,November 2024
2024-11-26,Groceries,123.56,CNY,Groceries expense,November 2024
2024-12-01,Subscriptions,26.64,USD,Subscriptions expense,December 2024
2024-12-01,Entertainment,62.58,USD,Entertainment expense,December 2024
2024-12-03,Dining Out,31.48,USD,Dining Out expense,December 2024
2024-12-04,Transport,78.43,USD,Transport expense,December 2024
2024-12-06,Dining Out,65.55,INR,Dining Out expense,December 2024
2024-12-06,Dining Out,49.42,USD,Dining Out expense,December 2024
2024-12-08,Rent,826.52,USD,Rent expense,December 2024
2024-12-09,Savings,112.93,USD,Savings expense,December 2024
2024-12-09,Savings,100.06,USD,Savings expense,December 2024
2024-12-11,Entertainment,40.18,CNY,Entertainment expense,December 2024
2024-12-14,Rent,899.44,USD,Rent expense,December 2024
2024-12-15,Transport,93.82,GBP,Transport expense,December 2024
2024-12-15,Dining Out,43.17,USD,Dining Out expense,December 2024
2024-12-19,Subscriptions,22.16,USD,Subscriptions expense,December 2024
2024-12-20,Entertainment,55.29,GBP,Entertainment expense,December 2024
2024-12-24,Clothing,71.34,USD,Clothing expense,December 2024
2024-12-25,Rent,913.48,USD,Rent expense,December 2024
2024-12-26,Dining Out,50.94,USD,Dining Out expense,December 2024
2024-12-28,Entertainment,54.1,USD,Entertainment expense,December 2024
2024-12-28,Rent,945.74,INR,Rent expense,December 2024
2025-01-01,Groceries,105.12,USD,Groceries expense,January 2025
2025-01-01,Rent,913.75,INR,Rent expense,January 2025
2025-01-02,Subscriptions,24.66,INR,Subscriptions expense,January 2025
2025-01-05,Savings,108.77,CNY,Savings expense,January 2025
2025-01-05,Dining Out,78.5,CNY,Dining Out expense,January 2025
2025-01-06,Rent,877.03,USD,Rent expense,January 2025
2025-01-07,Dining Out,57.02,GBP,Dining Out expense,January 2025
2025-01-08,Groceries,111.22,USD,Groceries expense,January 2025
2025-01-11,Remittance,217.82,INR,Remittance expense,January 2025
2025-01-11,Remittance,295.91,INR,Remittance expense,January 2025
2025-01-15,Rent,922.77,USD,Rent expense,January 2025
2025-01-17,Remittance,269.71,USD,Remittance expense,January 2025
2025-01-17,Healthcare,5.6,USD,Healthcare expense,January 2025
2025-01-17,Groceries,148.2,INR,Groceries expense,January 2025
2025-01-20,Dining Out,69.42,USD,Dining Out expense,January 2025
2025-01-23,Groceries,130.4,GBP,Groceries expense,January 2025
